time,open,high,low,close,volume,ticker
2018-10-10,85856,86834,85768,85856,1213420,VIC
2018-10-11,81768,83901,79902,82657,3276160,VIC
2018-10-12,82657,86656,82479,85323,1735640,VIC
2018-10-15,85323,85945,83546,84879,720500,VIC
2018-10-16,84434,87634,83723,87634,1290720,VIC
2018-10-17,87634,88523,87278,87990,1310430,VIC
2018-10-18,87545,88167,87101,88078,896140,VIC
2018-10-19,85768,88078,85768,88078,915870,VIC
2018-10-22,87190,88523,86301,88078,536930,VIC
2018-10-23,87190,87990,85768,87990,608750,VIC
2018-10-24,87101,88434,86656,87812,681290,VIC
2018-10-25,85945,87278,84079,86034,404050,VIC
2018-10-26,85501,87101,85057,85679,653110,VIC
2018-10-29,84879,86834,84434,86390,643700,VIC
2018-10-30,84879,86479,84879,85856,452080,VIC
2018-10-31,84968,86390,84968,86390,582470,VIC
2018-11-01,85768,86034,84434,84879,1225020,VIC
2018-11-02,84968,85945,84879,85323,1484060,VIC
2018-11-05,85323,85768,84523,85323,664130,VIC
2018-11-06,85323,85768,84790,85145,597170,VIC
2018-11-07,85590,85590,83812,85323,608180,VIC
2018-11-08,85323,85856,85145,85323,383030,VIC
2018-11-09,84434,85323,84434,85234,602570,VIC
2018-11-12,85145,85323,84879,85234,720990,VIC
2018-11-13,84257,84434,82923,82923,598800,VIC
2018-11-14,83190,84523,83012,84168,450950,VIC
2018-11-15,84168,84168,80790,81501,689540,VIC
2018-11-16,81501,82212,79813,80079,895700,VIC
2018-11-19,80079,85679,80079,85679,1553130,VIC
2018-11-20,84168,86390,84168,86390,1470120,VIC
2018-11-21,86212,86479,84434,86479,1609020,VIC
2018-11-22,86390,87101,85768,87101,1345610,VIC
2018-11-23,87812,87990,86212,87990,1055870,VIC
2018-11-26,87990,89323,87101,89323,642520,VIC
2018-11-27,89323,91722,89323,90211,467400,VIC
2018-11-28,90211,90656,89589,90656,577600,VIC
2018-11-29,91100,91545,90389,90656,367130,VIC
2018-11-30,89767,90656,86656,90389,1024240,VIC
2018-12-03,90478,91545,90034,90567,262710,VIC
2018-12-04,91011,91011,90300,90656,966490,VIC
2018-12-05,90567,90834,89767,90745,461240,VIC
2018-12-06,90745,90834,89856,90745,251610,VIC
2018-12-07,90745,90834,90211,90834,460960,VIC
2018-12-10,90656,90834,89856,90745,806730,VIC
2018-12-11,90745,90834,90123,90834,457470,VIC
2018-12-12,90834,91011,90656,90834,403320,VIC
2018-12-13,91100,92345,90478,91367,488820,VIC
2018-12-14,90834,91545,90300,91278,234660,VIC
2018-12-17,90656,91278,90567,91100,205950,VIC
2018-12-18,90478,90656,88878,90656,531470,VIC
2018-12-19,90656,90923,89323,90656,506600,VIC
2018-12-20,89767,90656,89589,90567,387370,VIC
2018-12-21,89323,90656,88878,90656,791040,VIC
2018-12-24,90656,90834,90034,90656,216960,VIC
2018-12-25,88967,90567,88967,90567,293610,VIC
2018-12-26,89767,90567,89767,90567,367750,VIC
2018-12-27,89767,91456,89767,91011,690680,VIC
2018-12-28,91811,91900,84701,84701,381320,VIC
2019-01-02,89945,90034,86656,89234,602450,VIC
